,Целевая.Цена,Спальни,Ванные,Жилая площадь,Общая площадь,Количество этажей,Вид на воду,Просмотрены ранее,Состояние,Оценка риелтора,Площадь без подвала,Площадь подвала,Год постройки,Год реновации,Широта,Долгота
136,760000,4,"2,75",3980,285318,2,0,2,3,9,3980,0,2006,0,"47,4803","-121,795"
137,384000,5,"2,75",3220,8160,2,0,0,3,9,3220,0,1999,0,"47,3154","-122,254"
138,211000,3,"1,5",1350,7620,1,0,0,5,6,1350,0,1941,0,"47,4565","-122,35"
139,437000,5,2,2190,8316,1,0,0,3,7,1390,800,1961,0,"47,5488","-122,298"
140,447500,3,"2,5",2320,15024,2,0,0,3,8,2320,0,1990,0,"47,4829","-121,766"
141,375000,3,2,1670,13775,1,0,0,3,8,1670,0,1968,0,"47,4873","-121,783"
142,320000,3,"1,5",1650,9380,1,0,0,5,7,1130,520,1978,0,"47,4525","-122,162"
143,585000,4,"3,25",2400,29252,2,0,0,4,8,2400,0,1982,0,"47,743","-122,131"
144,459990,3,"2,5",2680,5539,2,0,0,3,8,2680,0,2013,0,"47,4761","-121,734"
145,225000,4,"1,5",1950,12559,"1,5",0,0,3,6,1950,0,1939,0,"47,4364","-122,282"
146,364950,4,"2,5",2070,2992,2,0,0,3,8,2070,0,2002,0,"47,4496","-122,12"
147,290000,5,"2,5",2780,9652,1,0,0,4,8,1390,1390,1967,0,"47,3444","-122,271"
148,335000,3,1,1380,7470,1,0,0,5,7,1380,0,1965,0,"47,7479","-122,343"
149,330000,2,"2,5",1240,1546,2,0,0,3,7,1240,0,2007,0,"47,5634","-122,298"
150,565000,4,"2,5",2330,7936,2,0,0,3,9,2330,0,1987,0,"47,6269","-122,03"
151,870515,4,"3,5",3600,5697,2,0,0,3,9,2940,660,2014,0,"47,5755","-122,071"
152,505000,2,1,810,5060,1,0,0,3,6,810,0,1941,0,"47,5635","-122,394"
153,239950,4,1,1460,6000,1,0,0,4,7,730,730,1941,0,"47,4952","-122,224"
154,460000,3,"2,25",1650,7313,1,0,0,3,7,1220,430,1975,0,"47,7375","-122,194"
155,460500,3,1,1490,10650,1,0,0,3,7,1150,340,1963,0,"47,663","-122,178"
156,853000,4,"2,25",3440,35025,2,0,0,3,10,3440,0,1988,0,"47,6674","-122,055"
157,209995,2,1,700,7303,1,0,0,5,5,700,0,1953,0,"47,4934","-122,166"
158,330000,4,3,1920,12040,1,0,0,3,7,1920,0,1962,0,"47,4805","-122,301"
159,595000,4,"2,5",2360,43017,2,0,0,3,9,2360,0,1989,0,"47,774","-122,077"
160,265000,3,1,960,9748,1,0,0,3,5,960,0,1922,0,"47,5259","-121,815"
161,347500,4,"2,5",2460,7350,2,0,0,3,9,2460,0,1989,0,"47,3061","-122,349"
162,300000,3,"2,5",1700,3575,2,0,0,3,7,1700,0,2000,0,"47,5418","-122,295"
163,390000,3,"1,75",1850,15170,1,0,0,3,7,1850,0,1965,0,"47,4991","-121,774"
164,718500,4,"2,75",2840,8800,2,0,0,3,9,2840,0,2008,0,"47,7029","-122,171"
165,780000,5,"3,5",3190,4247,2,0,0,3,8,2430,760,2013,0,"47,7016","-122,103"
166,341780,4,"2,75",2260,4440,2,0,0,3,7,2260,0,2014,0,"47,3507","-122,291"
167,240000,4,"2,5",1980,7264,2,0,0,3,7,1980,0,1996,0,"47,3678","-122,019"
168,464900,4,"2,25",2020,8424,1,0,0,4,7,1380,640,1979,0,"47,7262","-122,233"
169,699000,3,"1,75",1670,5375,1,0,0,3,7,1270,400,1952,0,"47,6416","-122,397"
170,300000,5,"1,75",2110,8500,1,0,0,3,7,1100,1010,1962,0,"47,7737","-122,35"
171,509900,3,"1,75",1690,53578,1,0,0,3,8,1690,0,1984,0,"47,6546","-122,049"
172,398096,3,"2,5",2370,5321,2,0,0,3,8,2370,0,2014,0,"47,37","-122,019"
173,458500,3,"1,5",1280,1920,"1,5",0,0,3,7,1280,0,1905,1990,"47,6117","-122,301"
174,305000,2,1,890,7200,1,0,0,3,7,740,150,1949,0,"47,6998","-122,278"
175,215000,3,"1,5",1240,9405,1,0,0,4,7,1240,0,1966,0,"47,3727","-122,162"
176,949950,4,"3,75",4120,8258,2,0,0,3,10,4120,0,2012,0,"47,5872","-122,055"
177,700000,5,"3,25",2400,3118,2,0,0,4,7,1780,620,1928,0,"47,6094","-122,291"
178,200000,4,1,1020,42966,"1,5",0,0,4,6,1020,0,1922,0,"47,7617","-122,11"
179,2190000,3,"2,25",3360,7108,2,0,0,3,10,2770,590,1905,2004,"47,6187","-122,284"
180,232500,3,"1,5",1940,9887,1,0,0,4,7,1140,800,1969,0,"47,3289","-122,327"
181,355300,3,"2,5",1620,7410,1,0,0,5,7,1620,0,1955,0,"47,7708","-122,335"
182,420000,2,"1,5",1100,1107,3,0,0,3,8,1100,0,2008,0,"47,6584","-122,35"
183,500000,3,2,2050,11454,1,0,0,3,8,2050,0,1987,0,"47,6389","-122,11"
184,420000,3,1,1150,5120,1,0,0,4,6,800,350,1946,0,"47,5588","-122,392"
185,545000,2,"1,5",1620,3760,2,0,0,5,7,1170,450,1924,0,"47,6012","-122,291"
186,559900,3,"2,75",2930,5569,1,0,0,3,9,1860,1070,2004,0,"47,7648","-122,164"
187,507000,4,2,1360,2746,"1,5",0,0,3,7,1360,0,1945,2011,"47,6736","-122,39"
188,231200,3,2,1400,8821,1,0,0,3,7,1400,0,1991,0,"47,1949","-121,989"
189,429900,4,"3,25",3760,4675,2,0,0,3,8,2740,1020,2007,0,"47,3862","-122,048"
190,1040000,5,"2,75",3050,8904,1,0,0,4,8,1650,1400,1956,0,"47,5709","-122,214"
191,475000,2,"2,25",1060,925,2,0,0,3,8,980,80,2006,0,"47,6386","-122,388"
192,352499,2,"2,25",1240,705,2,0,0,3,7,1150,90,2009,0,"47,5321","-122,073"
193,367500,2,1,810,4800,1,0,0,3,6,810,0,1919,0,"47,5614","-122,27"
194,313000,2,1,1180,4900,1,0,0,5,6,1180,0,1954,0,"47,5321","-122,029"
195,600000,4,"2,5",2360,13500,1,0,0,4,8,1780,580,1973,0,"47,6315","-122,103"
196,248000,4,3,2163,5883,2,0,0,3,7,2163,0,2006,0,"47,2734","-122,251"
197,710000,5,"3,25",3920,8572,2,0,0,3,9,3920,0,2007,0,"47,5427","-121,887"
198,429900,4,"1,5",1820,17918,1,0,0,4,8,1190,630,1962,0,"47,521","-122,179"
199,660000,3,2,1140,6000,1,0,0,3,7,1140,0,1909,0,"47,637","-122,355"
200,505000,2,3,2770,10800,"1,5",0,0,5,8,1910,860,1984,0,"47,6082","-122,057"
201,1150000,6,"4,5",6040,219542,2,0,0,3,11,4100,1940,1996,0,"47,5622","-122,003"
202,425000,5,2,2500,7804,"1,5",0,0,3,7,1570,930,1921,0,"47,5031","-122,348"
203,260000,4,"2,5",2050,12500,1,0,0,3,7,1300,750,1965,0,"47,42","-122,319"
204,356500,4,"2,5",2570,11473,2,0,0,3,8,2570,0,2008,0,"47,2809","-122,296"
205,567500,3,1,1440,3060,"1,5",0,0,4,7,1440,0,1910,0,"47,6769","-122,307"
206,740000,4,"2,5",2300,9900,1,0,2,3,8,1600,700,1961,0,"47,5256","-122,385"
207,290000,4,"2,25",1900,10950,1,0,0,4,7,1400,500,1959,0,"47,3582","-122,284"
208,399990,5,"2,75",1690,4000,1,0,0,5,7,970,720,1943,0,"47,5312","-122,354"
209,620000,5,3,2540,11422,1,0,0,3,8,1270,1270,1962,2014,"47,5459","-122,176"
210,670000,4,"2,5",2095,4569,2,0,0,3,9,2095,0,2002,0,"47,6603","-122,087"
211,234000,4,2,1630,9010,1,0,0,4,7,1050,580,1975,0,"47,317","-122,196"
212,1250000,3,3,3460,5353,2,0,0,3,10,2850,610,2007,0,"47,5858","-122,393"
213,270000,3,"2,5",1808,19200,1,0,0,3,8,1808,0,2005,0,"47,2598","-122,281"
214,467000,3,"2,5",1990,4978,2,0,0,3,8,1990,0,2004,0,"47,5323","-121,856"
215,438500,3,"2,25",3050,10689,2,0,0,4,9,3050,0,1988,0,"47,3326","-122,201"
216,368000,3,"1,75",1710,10800,1,0,0,4,7,1710,0,1958,0,"47,7391","-122,241"
217,204000,3,1,1200,12500,"1,5",0,0,3,6,1200,0,1936,0,"47,4162","-122,329"
218,420000,3,1,1240,7300,1,0,0,3,7,1240,0,1968,0,"47,6775","-122,168"
219,808000,4,"2,5",3480,6262,2,0,0,3,9,3480,0,2003,0,"47,6857","-122,045"
220,415000,3,"2,5",2480,8342,2,0,0,3,8,2480,0,1986,0,"47,4381","-122,134"
221,165000,3,"1,5",1250,7200,1,0,0,4,7,1250,0,1978,0,"47,3678","-122,282"
222,354000,2,1,1390,7740,1,0,0,4,6,1390,0,1925,0,"47,5232","-122,371"
223,540000,3,"1,75",1610,3478,"1,5",0,0,4,7,1060,550,1929,0,"47,6774","-122,372"
224,415000,5,"1,5",1900,10226,1,0,0,3,7,1130,770,1961,0,"47,7226","-122,227"
225,699950,3,"2,5",3370,36218,2,0,0,4,9,3370,0,1988,0,"47,5855","-121,987"
226,579100,2,1,1070,2754,1,0,0,3,7,830,240,1924,0,"47,6755","-122,331"
227,464000,5,"2,5",3400,8970,1,0,0,4,8,1700,1700,1959,0,"47,7358","-122,335"
228,833450,5,4,4460,269345,2,0,4,3,9,3330,1130,1996,0,"47,4992","-122,06"
229,1560000,4,"3,75",3730,17000,2,0,3,4,10,2820,910,1986,0,"47,5355","-122,242"
230,350000,3,"2,5",1640,10424,2,0,0,3,7,1640,0,1988,0,"47,7345","-121,977"
231,1350000,4,"3,5",4680,12495,2,0,0,3,10,3040,1640,2008,0,"47,6984","-122,206"
232,217000,3,"2,5",1340,4200,2,0,0,3,7,1340,0,2002,0,"47,2942","-122,226"
233,259950,4,2,1610,6650,1,0,0,3,7,1610,0,1989,0,"47,3085","-122,358"
234,248000,3,1,1470,7680,1,0,0,3,7,1220,250,1946,0,"47,5276","-122,359"
235,1300000,4,"2,5",3110,11857,2,0,4,3,11,2040,1070,1990,0,"47,6952","-122,402"
236,355000,2,1,1350,368517,1,0,0,3,6,1350,0,1947,0,"47,7617","-122,061"
237,775000,4,"2,5",3090,7112,2,0,0,3,9,3090,0,2001,0,"47,705","-122,118"
238,769000,4,"2,5",2440,6733,2,0,0,3,9,2440,0,1999,0,"47,6374","-122,064"
239,269900,5,"1,75",1750,8325,1,0,0,5,7,1750,0,1966,0,"47,4007","-122,198"
240,825000,4,"2,5",2560,4000,2,0,0,5,8,1610,950,1929,0,"47,6885","-122,386"
241,551870,3,"2,5",2507,18400,2,0,0,3,8,2507,0,2006,0,"47,2867","-122,27"
242,470000,4,"2,5",2470,8536,2,0,0,3,8,2470,0,2002,0,"47,7699","-122,292"
243,279000,6,"1,75",2240,11180,2,0,0,4,7,2240,0,1955,0,"47,42","-122,323"
244,393500,3,"1,75",1600,8156,1,0,0,5,7,1600,0,1948,0,"47,7397","-122,3"
245,255000,3,"2,75",1900,16117,1,0,0,4,7,1900,0,1958,0,"47,3144","-122,278"
246,380000,2,"2,5",2110,114127,1,0,0,4,8,1590,520,1975,0,"47,4137","-122,212"
247,535000,3,"2,5",2070,4132,2,0,0,3,8,2070,0,1999,0,"47,6036","-122,015"
248,905000,4,"2,25",2240,5000,2,0,0,3,8,1770,470,1900,2014,"47,6027","-122,295"
249,410000,3,"2,5",1509,1418,3,0,0,3,8,1509,0,2014,0,"47,7047","-122,34"
250,267345,4,"2,25",2510,8165,1,0,0,4,7,1610,900,1972,0,"47,3092","-122,372"
251,540000,3,"1,75",2590,25992,1,0,0,3,8,1970,620,1968,0,"47,5521","-122,03"
252,810000,4,"2,5",3340,8384,2,0,0,3,9,3340,0,2014,0,"47,6761","-122,152"
253,320000,4,"1,75",1760,11180,1,0,0,4,8,1760,0,1968,0,"47,4715","-122,118"
254,330000,2,1,860,8308,1,0,0,4,7,860,0,1948,0,"47,5075","-122,377"
255,289200,3,"2,25",1760,7023,2,0,0,3,7,1760,0,1995,0,"47,7468","-121,98"
256,498000,4,"2,75",2270,7375,1,0,0,4,7,1290,980,1973,0,"47,7222","-122,168"
257,371000,3,"1,75",1970,9512,1,0,0,3,8,1970,0,1968,0,"47,4545","-122,146"
258,925000,4,"1,75",2710,11400,1,0,0,4,9,1430,1280,1976,0,"47,561","-122,153"
259,449950,3,2,1560,4080,2,0,0,3,7,1560,0,1923,1982,"47,6892","-122,319"
260,467000,3,"2,5",1690,6642,2,0,0,3,7,1690,0,2004,0,"47,6793","-122,033"
261,500000,4,"2,25",2030,8517,1,0,0,4,8,1380,650,1961,0,"47,5495","-122,174"
262,585000,4,"2,5",1950,3720,2,0,0,3,8,1950,0,2004,0,"47,5503","-121,997"
263,825000,3,"2,5",3400,38400,1,0,4,3,8,1870,1530,1955,2015,"47,7611","-122,372"
264,380000,4,"3,25",2864,8035,3,0,0,3,8,2864,0,2014,0,"47,3746","-122,189"
265,768000,3,"2,5",2660,10928,2,0,0,3,9,1830,830,1988,0,"47,5442","-122,141"
266,355000,2,"2,25",930,747,2,0,0,3,8,630,300,2007,0,"47,5844","-122,316"
267,835000,4,"2,75",4030,10240,2,0,2,3,8,3310,720,1943,1994,"47,7168","-122,365"
268,500000,4,2,1680,3813,2,0,0,4,7,1680,0,1900,0,"47,593","-122,293"
269,692500,3,"2,25",3420,9900,1,0,0,3,9,1710,1710,1963,2004,"47,7412","-122,256"
270,1070000,5,"3,5",2920,3000,2,0,0,3,9,2260,660,2014,0,"47,6846","-122,349"
271,661500,5,"2,5",2500,7200,1,0,0,4,7,1490,1010,1977,0,"47,6964","-122,12"
272,445000,3,"2,5",2230,7934,2,0,0,3,7,2230,0,2005,0,"47,5439","-121,88"
273,542000,2,2,1930,4500,1,0,0,3,8,1930,0,2003,0,"47,7104","-122,031"
274,252000,3,"1,5",1150,13200,1,0,0,3,7,1150,0,1956,0,"47,4752","-122,345"
275,300000,4,"2,5",1840,5550,2,0,0,3,8,1840,0,2004,0,"47,3937","-122,183"
276,348500,3,"1,5",1360,10726,1,0,0,4,7,1360,0,1966,0,"47,4948","-122,134"
277,500000,2,1,1760,27332,1,1,4,4,7,1300,460,1951,0,"47,3799","-122,325"
278,785500,4,4,3280,8448,2,0,0,3,10,3280,0,2007,0,"47,5818","-121,973"
